maxD_in,tOff_in,sdD_in,constant_in
21,3000,10.75,0.006666666666666666
21,3000,10.75,0.007222222222222222
21,3000,10.75,0.0077777777777777776
21,3000,10.75,0.008333333333333333
21,3000,10.75,0.008888888888888889
21,3000,10.75,0.009444444444444445
21,3000,10.75,0.01
21,3000,20.5,0.005
21,3000,20.5,0.005555555555555556
21,3000,20.5,0.006111111111111111
21,3000,20.5,0.006666666666666666
21,3000,20.5,0.007222222222222222
21,3000,20.5,0.0077777777777777776
21,3000,20.5,0.008333333333333333
21,3000,20.5,0.008888888888888889
21,3000,20.5,0.009444444444444445
21,3000,20.5,0.01
21,3000,30.25,0.005
21,3000,30.25,0.005555555555555556
21,3000,30.25,0.006111111111111111
21,3000,30.25,0.006666666666666666
21,3000,30.25,0.007222222222222222
21,3000,30.25,0.0077777777777777776
21,3000,30.25,0.008333333333333333
21,3000,30.25,0.008888888888888889
21,3000,30.25,0.009444444444444445
21,3000,30.25,0.01
21,3000,40.0,0.005
21,3000,40.0,0.005555555555555556
21,3000,40.0,0.006111111111111111
21,3000,40.0,0.006666666666666666
21,3000,40.0,0.007222222222222222
21,3000,40.0,0.0077777777777777776
21,3000,40.0,0.008333333333333333
21,3000,40.0,0.008888888888888889
21,3000,40.0,0.009444444444444445
21,3000,40.0,0.01
21,4000,1.0,0.005
21,4000,1.0,0.005555555555555556
21,4000,1.0,0.006111111111111111
21,4000,1.0,0.006666666666666666
21,4000,1.0,0.007222222222222222
21,4000,1.0,0.0077777777777777776
21,4000,1.0,0.008333333333333333
21,4000,1.0,0.008888888888888889
21,4000,1.0,0.009444444444444445
21,4000,1.0,0.01
21,4000,10.75,0.005
21,4000,10.75,0.005555555555555556
21,4000,10.75,0.006111111111111111
21,4000,10.75,0.006666666666666666
21,4000,10.75,0.007222222222222222
21,4000,10.75,0.0077777777777777776
21,4000,10.75,0.008333333333333333
21,4000,10.75,0.008888888888888889
21,4000,10.75,0.009444444444444445
21,4000,10.75,0.01
21,4000,20.5,0.005
21,4000,20.5,0.005555555555555556
21,4000,20.5,0.006111111111111111
21,4000,20.5,0.006666666666666666
21,4000,20.5,0.007222222222222222
21,4000,20.5,0.0077777777777777776
21,4000,20.5,0.008333333333333333
21,4000,20.5,0.008888888888888889
21,4000,20.5,0.009444444444444445
21,4000,20.5,0.01
21,4000,30.25,0.005
21,4000,30.25,0.005555555555555556
21,4000,30.25,0.006111111111111111
21,4000,30.25,0.006666666666666666
21,4000,30.25,0.007222222222222222
21,4000,30.25,0.0077777777777777776
21,4000,30.25,0.008333333333333333
21,4000,30.25,0.008888888888888889
21,4000,30.25,0.009444444444444445
21,4000,30.25,0.01
21,4000,40.0,0.005
21,4000,40.0,0.005555555555555556
21,4000,40.0,0.006111111111111111
21,4000,40.0,0.006666666666666666
21,4000,40.0,0.007222222222222222
21,4000,40.0,0.0077777777777777776
21,4000,40.0,0.008333333333333333
21,4000,40.0,0.008888888888888889
21,4000,40.0,0.009444444444444445
21,4000,40.0,0.01
21,5000,1.0,0.005
21,5000,1.0,0.005555555555555556
21,5000,1.0,0.006111111111111111
21,5000,1.0,0.006666666666666666
21,5000,1.0,0.007222222222222222
21,5000,1.0,0.0077777777777777776
21,5000,1.0,0.008333333333333333
21,5000,1.0,0.008888888888888889
21,5000,1.0,0.009444444444444445
21,5000,1.0,0.01
21,5000,10.75,0.005
21,5000,10.75,0.005555555555555556
21,5000,10.75,0.006111111111111111
21,5000,10.75,0.006666666666666666
21,5000,10.75,0.007222222222222222
21,5000,10.75,0.0077777777777777776
21,5000,10.75,0.008333333333333333
21,5000,10.75,0.008888888888888889
21,5000,10.75,0.009444444444444445
21,5000,10.75,0.01
21,5000,20.5,0.005
21,5000,20.5,0.005555555555555556
21,5000,20.5,0.006111111111111111
21,5000,20.5,0.006666666666666666
21,5000,20.5,0.007222222222222222
21,5000,20.5,0.0077777777777777776
21,5000,20.5,0.008333333333333333
21,5000,20.5,0.008888888888888889
21,5000,20.5,0.009444444444444445
21,5000,20.5,0.01
21,5000,30.25,0.005
21,5000,30.25,0.005555555555555556
21,5000,30.25,0.006111111111111111
21,5000,30.25,0.006666666666666666
21,5000,30.25,0.007222222222222222
21,5000,30.25,0.0077777777777777776
21,5000,30.25,0.008333333333333333
21,5000,30.25,0.008888888888888889
21,5000,30.25,0.009444444444444445
21,5000,30.25,0.01
21,5000,40.0,0.005
21,5000,40.0,0.005555555555555556
21,5000,40.0,0.006111111111111111
21,5000,40.0,0.006666666666666666
21,5000,40.0,0.007222222222222222
21,5000,40.0,0.0077777777777777776
21,5000,40.0,0.008333333333333333
21,5000,40.0,0.008888888888888889
21,5000,40.0,0.009444444444444445
21,5000,40.0,0.01
21,6000,1.0,0.005
21,6000,1.0,0.005555555555555556
21,6000,1.0,0.006111111111111111
21,6000,1.0,0.006666666666666666
21,6000,1.0,0.007222222222222222
21,6000,1.0,0.0077777777777777776
21,6000,1.0,0.008333333333333333
21,6000,1.0,0.008888888888888889
21,6000,1.0,0.009444444444444445
21,6000,1.0,0.01
21,6000,10.75,0.005
21,6000,10.75,0.005555555555555556
21,6000,10.75,0.006111111111111111
21,6000,10.75,0.006666666666666666
21,6000,10.75,0.007222222222222222
21,6000,10.75,0.0077777777777777776
21,6000,10.75,0.008333333333333333
21,6000,10.75,0.008888888888888889
21,6000,10.75,0.009444444444444445
21,6000,10.75,0.01
21,6000,20.5,0.005
21,6000,20.5,0.005555555555555556
21,6000,20.5,0.006111111111111111
21,6000,20.5,0.006666666666666666
21,6000,20.5,0.007222222222222222
21,6000,20.5,0.0077777777777777776
21,6000,20.5,0.008333333333333333
21,6000,20.5,0.008888888888888889
21,6000,20.5,0.009444444444444445
21,6000,20.5,0.01
21,6000,30.25,0.005
21,6000,30.25,0.005555555555555556
21,6000,30.25,0.006111111111111111
21,6000,30.25,0.006666666666666666
21,6000,30.25,0.007222222222222222
21,6000,30.25,0.0077777777777777776
21,6000,30.25,0.008333333333333333
21,6000,30.25,0.008888888888888889
21,6000,30.25,0.009444444444444445
21,6000,30.25,0.01
21,6000,40.0,0.005
21,6000,40.0,0.005555555555555556
21,6000,40.0,0.006111111111111111
21,6000,40.0,0.006666666666666666
21,6000,40.0,0.007222222222222222
21,6000,40.0,0.0077777777777777776
21,6000,40.0,0.008333333333333333
21,6000,40.0,0.008888888888888889
21,6000,40.0,0.009444444444444445
21,6000,40.0,0.01
21,7000,1.0,0.005
21,7000,1.0,0.005555555555555556
21,7000,1.0,0.006111111111111111
21,7000,1.0,0.006666666666666666
21,7000,1.0,0.007222222222222222
21,7000,1.0,0.0077777777777777776
21,7000,1.0,0.008333333333333333
21,7000,1.0,0.008888888888888889
21,7000,1.0,0.009444444444444445
21,7000,1.0,0.01
